TCW,TSX,TRICAN WELL SERVICE LTD
TDG,TSX,TRINIDAD DRILLING LTD
TET,TSX,Trilogy Energy Corp
TFI,TSX,TRANSFORCE INC
TIH,TSX,TOROMONT INDUSTRIES LTD
TKO,TSX,TASEKO MINES LTD
TRZ.B,TSX,TRANSAT A.T. INC-CL B
TS.B,TSX,TORSTAR CORP - CL B
TWFu,TSX,TIMBERWEST FOREST CRP- STP U
UEX,TSX,UEX CORP
UTS,TSX,UTS ENERGY CORP
UUU,TSX,URANIUM ONE INC
VRO,TSX,VERO ENERGY INC
WFT,TSX,WEST FRASER TIMBER CO LTD
WJXu,TSX,WAJAX INCOME FUND
WPT,TSX,WESTPORT INNOVATIONS INC
WTEu,TSX,WESTSHORE TERMINALS INC FD
WTN,TSX,Western Coal Corp
ZARu,TSX,ZARGON ENERGY TRUST
