LNR.TO,TSX,LINAMAR CORP
LSG.TO,TSX,LAKE SHORE GOLD CORP
MAG.TO,TSX,MAG SILVER CORP
MDA.TO,TSX,MACDONALD DETTWILER&ASSOC
MDI.TO,TSX,MAJOR DRILLING GROUP INTL
MDS.TO,TSX,MDS INC
MFI.TO,TSX,MAPLE LEAF FOODS INC
MFL.TO,TSX,MINEFINDERS CORP
MGA.TO,TSX,MEGA URANIUM LTD
MGO.TO,TSX,MIGAO CORP
ML.TO,TSX,MERCATOR MINERALS LTD
MPTu.TO,TSX,MACQUARIE POWER&INFRASTRUC
MRE.TO,TSX,MARTINREA INTERNATIONAL INC
MRTu.TO,TSX,MORGUARD REAL ESTATE-TR UTS
MSIu.TO,TSX,MORNEAU SOBECO INCOME FUND
MTL.TO,TSX,Mullen Group Ltd
N.A.TO,TSX,WESTFIELD REAL ESTATE INVEST
NAEu.TO,TSX,NAL OIL & GAS TRUST-UNTS
NAL.TO,TSX,Newalta Corp
NBD.TO,TSX,NORBORD INC
NDM.TO,TSX,NORTHERN DYNASTY MINERALS
NEM.TO,TSX,NEO MATERIAL TECHNOLOGIES IN
NG.TO,TSX,NOVAGOLD RESOURCES INC
NGD.TO,TSX,NEW GOLD INC
NGX.TO,TSX,NORTHGATE MINERALS CORP
NPIu.TO,TSX,NORTHLAND POWER INCOME TR UT
NPRu.TO,TSX,NORTHERN PROPERTY REAL ESTAT
NSU.TO,TSX,NEVSUN RESOURCES LTD
NVA.TO,TSX,NUVISTA ENERGY LTD
NWFu.TO,TSX,NORTH WEST COMPANY FUND
OPC.TO,TSX,OPTI CANADA INC
ORA.TO,TSX,AURA MINERALS INC
PEYu.TO,TSX,PEYTO ENERGY TRUST
PHXu.TO,TSX,PHOENIX TECHNOLOGY INCOME FU
PJC.A.TO,TSX,JEAN COUTU GROUP INC A
PKIu.TO,TSX,PARKLAND INCOME FUND
PLB.TO,TSX,PALADIN LABS INC
PMTu.TO,TSX,PARAMOUNT ENERGY TRUST
PMZu.TO,TSX,PRIMARIS RETAIL REAL ESTATE
PNP.TO,TSX,PINETREE CAPITAL LTD
POU.TO,TSX,PARAMOUNT RESOURCES LTD -A
PSI.TO,TSX,PASON SYSTEMS INC
PTI.TO,TSX,PATHEON INC
QEC.TO,TSX,QUESTERRE ENERGY CORP
QUA.TO,TSX,QUADRA MINING LTD
RCM.TO,TSX,RUGGEDCOM INC
RET.A.TO,TSX,REITMANS (CANADA) LTD -CL A
RMX.TO,TSX,RUBICON MINERALS CORP
RUS.TO,TSX,RUSSEL METALS INC
SCP.TO,TSX,GENERAL MINERALS CORP
SEO.TO,TSX,STORM EXPLORATION INC
SMF.TO,TSX,SEMAFO INC
SPB.TO,TSX,Superior Plus Corp
SSO.TO,TSX,SILVER STANDARD RESOURCES
STN.TO,TSX,STANTEC INC
SVC.TO,TSX,SANDVINE CORP
SVM.TO,TSX,SILVERCORP METALS INC
SVY.TO,TSX,SAVANNA ENERGY SERVICES CORP
SW.TO,TSX,SIERRA WIRELESS INC
SXC.TO,TSX,SXC HEALTH SOLUTIONS CORP
TCL.A.TO,TSX,TRANSCONTINENTAL INC-CL A
TCW.TO,TSX,TRICAN WELL SERVICE LTD
TDG.TO,TSX,TRINIDAD DRILLING LTD
TET.TO,TSX,Trilogy Energy Corp
TFI.TO,TSX,TRANSFORCE INC
TIH.TO,TSX,TOROMONT INDUSTRIES LTD
TKO.TO,TSX,TASEKO MINES LTD
TRZ.B.TO,TSX,TRANSAT A.T. INC-CL B
TS.B.TO,TSX,TORSTAR CORP - CL B
TWFu.TO,TSX,TIMBERWEST FOREST CRP- STP U
UEX.TO,TSX,UEX CORP
UTS.TO,TSX,UTS ENERGY CORP
UUU.TO,TSX,URANIUM ONE INC
VRO.TO,TSX,VERO ENERGY INC
WFT.TO,TSX,WEST FRASER TIMBER CO LTD
WJXu.TO,TSX,WAJAX INCOME FUND
WPT.TO,TSX,WESTPORT INNOVATIONS INC
WTEu.TO,TSX,WESTSHORE TERMINALS INC FD
WTN.TO,TSX,Western Coal Corp
ZARu.TO,TSX,ZARGON ENERGY TRUST
